reviewId,content,score
b717f68c-b618-4d22-987e-afd7dfb8049a,Punjab Pakistan,5
17688a1f-92e5-49ed-86e6-bbf15dd4b2c5,Good App,5
22e27bf1-0a80-458a-9a38-0bdf8da500e2,Subhash paswan,5
a12e9194-b888-4e85-b7c9-4b2ef5966750,Nice aap,2
b93c16dd-c303-436f-88a4-671d2718b938,Good and perfect app,5
d79cae1b-6c97-4158-8bf8-d81a926b73af,अच्छा लगा देवकर धन्यवाद,5
00d21b88-dcae-4de9-8c8f-88c18e2e8b53,Very good,5
4d084190-1b33-4564-8d6b-5d92ff29d73c,Ganda nicee,5
f68742a6-00d1-4bcb-bf3c-8ee684383abd,They banned all my Facebook accounts,1
53483278-30e1-4322-8ca6-321e7067588b,good app,5
3578eabb-84e5-4d9b-8349-94b7a72472b6,this app is vary bad I naver expeted dont recamentent this app,1
c3fd8a94-3ea7-4c1b-880a-c8e2d0d4fa52,Good,5
07adeeba-5d13-4553-83b3-62c86181a112,Good,5
2c28add5-f423-4511-8f5a-2261c489c740,Good apps,5
922f5136-733b-4b30-9689-9bef4d6edd99,Nawawala facebook ups ko sa phone,2
e9aa7705-f473-4861-a05b-9aee670e7dee,Thanks for lite it helps a lot,5
35832f35-a3bb-41ff-9ca1-5d6760ff3358,Account Temporarily Unavailable. How do you fix this please?,3
88badd89-699d-44c3-9a73-22ef4cd9bb0d,I like it,5
18838a95-c488-4c17-9786-e253a3f02470,Am back,5
73e71322-3878-4e2d-952a-57c6e410408a,Why massages is not available?,5
c758ffef-571f-41fe-a175-24fc0b1a00fd,Very nice ☺️,5
d4cd99e1-5787-4a54-b218-d290c7cb3707,Facebook Lite,5
41df769e-e407-4fe9-9aa7-399a1e725027,SumonAhmed,5
7a9e1148-f730-4da2-9fcc-a1f0a42dc1ea,V .,4
f4fdd1a3-62dc-477e-aa0a-1ed0682058cc,It's my favorite,3
93c02027-d1b6-46fc-84aa-db46188040aa,nice,5
88b0f85c-07a2-44e6-a6b0-dfec240b3065,ok,5
4bbf2cca-d954-4790-8b4c-1963abfb85bb,Faible,1
c9a05f45-ce89-4598-b2bc-ce834ca19d3f,Nice,5
6bfaeeaa-fe3f-482d-a4bb-5d554ca31e23,Good,1
43013b10-fdfb-4397-bc2f-d300dd499fe2,Its good good thumbs up guys,5
1ed36257-8c06-40b2-af7e-f09b5992e173,I love doing Facebook all day I can see videos and pictures and I can post,4
5d0ab289-9375-4e53-8574-69aca8cb6de3,super,5
1f501d88-4034-4aba-8fbe-93b259e730e8,Suraj,5
762a9c6e-49fa-4ecd-97a4-b3931abb6591,Good,5
f53c6d4b-cb33-47b1-8b01-423c89c1a55d,love the app,5
2afbfedd-e8f4-40b2-8800-8fa9af616c9f,Good app,4
6f11c7fa-54d9-4748-9593-90291efbfa3c,Excellent,5
8584a0ff-3def-43a2-89df-a651181ad43a,。。,5
d2973eb6-f641-447a-8c6c-4bf42c56da24,Good,2
15e13a6c-143e-46ba-b539-d543fccdfa28,good performance,5
1e23f625-ba02-47b1-bea3-8e3e25cf52f3,"Facebook lite zindabad, very nice",5
3a75bd35-3412-4a55-aa11-d2fa968d5c39,Good,5
3655a578-2902-43e7-82e1-aae29fbe2674,is the worsted application if u want to make friends!!,1
1a125195-9c7c-4549-b04a-b0fb81e822e5,To my self,5
5f10d7d2-b32a-4dd5-a814-2798a2d91862,The app crashes and the screen orientation cannot be change when watching videos after the update.,1
5ff82d11-ea04-463d-aa2d-b2575c1c331c,Help me,5
bd94bafc-e54c-490e-bbe8-edc2ae1c63b5,Darisha,4
03e7a0d2-13cc-44cb-a39f-a69e7104513b,abdillah Marco,5
3a942584-6923-47f0-b303-7170f014b7e9,So bad this app end to end encryption 😭,1
dc624a48-c5b5-4247-8612-eb49441c1610,Good interest,1
be01ccb4-3f82-4c49-9143-72dc3d7b1af3,My love app,5
58b48d35-050c-4474-bf45-ef37183b8080,Less log,2
67613644-af56-41fd-86d3-6cab247d869b,What do I need to update the application every day,2
bdec695f-2a65-4d3e-ab78-418850a907c5,Good,5
2c4feb08-1a6c-45f0-ab4e-b505d9a332ea,Very good,5
59253900-dd88-4272-a952-7044a678d6a4,Very nice app I'm really enjoy this app ..,5
564df9c0-ae69-485b-a8f5-dfeb6f1b4078,Helpful thanks,5
d3e83e52-88e7-40a7-a03c-bdcfc88afbc5,Amazing,5
5754b094-f444-4e31-ac47-95693c23637d,"This is ILLEGAL! STOP IT!! I DON'T WANT the full facebook app! I don't need it since I have the 'lite' version. I thought that was the whole point! It doesn't say anything about the full facebook app IN ADDITION TO the lite app. So, stop! YOU DON'T HAVE MY PERMISSION TO INSTALL THE FULL VERSION AND THUS, IT IS ILLEGAL. ⚠️ For those thinking about installing the lite version: THIS is what you can expect from them: at least 3x/month I have to uninstall the full version from my phone.🛑 the 🐂💩",1
f538913c-e521-4641-8c4c-7fbe29fdf473,This is a some,5
b22469cb-8bd5-40e0-9972-0473d3fead52,Usama adumu,5
29eadcc2-2150-4298-b404-0e10904ecd5b,👍👍👍👍👍👍👍👍👍,5
181a03ed-8d45-405a-8067-348668ab2269,This is a very bad app This stupid app is always asking for my passport before I login This Facebook is a wreck,1
3acbe08d-9842-468f-b5ec-d16ee43eb1b0,I didn't say the app isn't good but after putting down my login info it still shows me to refresh the page and I also try uninstallig and downloaded it again but to no avail. Please beta you should find a solution to it,3
3f6d1532-7442-4a4b-b42d-817ad691b34a,MbAZARUL,5
7b070978-af55-4893-8776-f2650228b943,Nice app,5
eb011868-17f7-4824-8d0e-69e9a43a9780,Every time I log in within seconds I get locked out this is so frustrating will someone help please,1
ba3a9b9c-d463-41ed-be52-09e3ecce12da,I am facing problem in scrolling in reels,1
f35004a2-1459-4717-bf58-09ab1e4254b2,St treacherous,1
f8afbba7-be82-4685-bf50-013131855efd,Nice work,5
0aa1862d-0d40-403a-8fc5-11fbdbc22064,"I've been using this app for so many years , and i would say that is essential to use more than a Facebook app .",5
d1a3cf14-9fa9-4015-b7d9-c63f52886fc7,Very good,5
0035d283-bf3d-4b6c-b57f-f6878ceb8416,heray ybanez,1
b73f80ea-8f25-47e2-aa7f-f1e7c93efeaf,Great,5
0784efdb-a6b0-42eb-849a-5f0bda28f240,Am happy with this app,5
173c0c3a-e692-4bb2-83d7-f70f8b175828,It's ok,5
bfecac1f-8931-4dcb-8e59-cbcb8d3f9a05,Really good ✨,5
0136b80d-1522-4540-b5da-4daa36f298e3,Facebook very useful I like it 24x7 no problem,5
80a570df-cc3f-4945-afe9-6b0b073056e4,good best,4
b7323fa6-e939-4e43-9585-8e7530127438,Vedio watch,5
ee20134f-cbc6-4fa8-b3e3-36224b870434,"It is good to use Facebook lite. It helps in texting messages and also,you can watch your videos and reels over there",4
4217fcf0-93fe-4f55-91c2-8cf947bb5714,Price filter doesn't work properly in marketplace. It always shows me the price range 200-600 and changing values don't do anything.,1
53dd9f1b-dd4a-49e0-a393-5db221d35f24,How could still used useless garbage,1
8f9dde53-374a-46fc-8821-e304a8cfb05e,"Glitchy and horrible to use. Lots of rage-bait media om my timeline, hate speech, violence against women etc. I keep blocking and attempting to report these accounts, but Facebook keeps taking me to error pages. Facebook is an absolute cesspit of an app, and I will be deleting it shortly.",1
87ab8739-09f7-45af-9d1a-61668981abd5,Min98376 love Instagram Instagram thank you family support me,1
5fa3ba2e-7f2a-423c-9325-6afcb0df5a9e,Nice app enable to use cheat data to watch picture on lite,3
3cfc1de9-9edc-4691-ba0b-62ff6370b285,No bad at all,5
af9039b0-4d08-492c-a4da-712636da7a32,I like how it works,5
a59299e4-d3c0-4fd9-8ec0-130e765523e9,Okey great work,5
bc7f91f6-f3da-4fea-821f-b8326eb41531,Ok,4
4c21a141-ac73-4ce6-b6e7-f024a747ddc9,Good,5
8dd2802e-c4d3-4542-b662-3fc2f22b8eb0,Mosquito,3
1a9c426d-89a5-4167-be18-335fd14ae6af,Halimatu,5
a2174407-6831-4272-883f-a3443272591b,really no hang this app is perfect app,5
3d088600-1836-45b1-878c-ceb485ec15b3,nive apps,5
261267f6-f969-4a29-acac-475f3f41c9b7,Shanitjitan,1
44b0c9f1-a890-4436-8909-ac5e2b106d53,نيكماتكم رجعوه كما كان,1
4a332c80-e5d9-491b-a1ad-8676d05a779b,My inbox isn't working n dont knw why,2
9c020e01-fa51-484f-8f8f-df8220cc20dc,Updata my faecbook,5
77081db4-437f-48c1-9aaf-5316ccee71dc,Imo,3
88e1234b-53da-49ec-9ac6-c750219afc11,Very nice apps,5
6921fafe-f635-4075-b45c-60da169cb48a,New massage,5
3fb75fe5-f4ba-4419-917e-0a51f952bfe5,I love it,5
05c2ded2-47e1-4ac2-bff2-da76822b1f67,Very fantastic,5
bbb85a5a-82f1-441e-bdf0-12ada67ab54b,Ok,3
dfdb9d3c-11f5-4864-b720-b55bcc561611,Why is that the app keeps on closing 😭😞,1
cd1f9692-f790-4b1c-9bf1-eda9e127725b,Messaging,5
743ace27-678e-479b-9b92-fd0be54f9838,Wonderful to ally,5
da134afc-9bda-4598-8d1d-dd6ca0b7c8f3,Beautiful experiance❤💕,5
bcd83ad2-7a90-48ed-9884-8c08bf152de1,one,4
261ce04c-e78c-4127-a0f4-cd4387a2b366,This app is the best it does not comsum data but if they can try to add view once picture it could be more better,4
e2699c33-3cff-472c-9d7c-d78e54a6657b,Good,5
e34a251b-a766-4f97-ab72-5a47557d0ba0,Good to know this app downloaded,5
b52d9aad-8280-4554-a31f-2963b30b0075,"After updating it keeps saying "" we have a problem with the page you tried to reach. We hope tohave fix it soon."" You will be directed to the home page. It's really annoying",2
44ff3607-dcdd-4e6f-8a7d-8d925b516586,Facebook,4
8659bc42-b86e-46ef-82d0-41751359eb5f,excellent app .,5
e6cac72d-2cd4-4794-90de-a2420be553a9,good but some annoying,2
aa168c25-a3d6-4722-a3d0-24a9ba8b1d63,Why is my Facebook account don't want to enter,5
0d830e65-1934-4609-af2c-4dbe6b3fa9df,I LOVE Facebook %,2
084f384b-4aab-4704-acb5-fe22d844d255,Awsome,5
5aca6c8e-9106-407c-ae9b-b83040169de2,Pamoja,5
0defa8de-b096-4dbe-8b89-069a5475908b,All I want IS MONEY 1243,5
34b10448-a8ef-48f5-90e2-cff2646cecd2,Gulabbaya A Bariya,3
a12c1c65-9051-4506-8811-207dff5b8035,Hi love,1
5c961d95-1e10-4e02-82e6-c19f9f3a9514,Love 💕 the app,5
bf69d771-3568-44b3-8de7-d103298701ae,Good,5
456c7f1b-acb7-4170-86ea-c26964f71d22,Its goood all you want is there no need to exit then go to messenger because the messenger is already inside the fblite,5
ff9cc2ca-04cf-4711-957a-fc04872b9864,Excellent thanks,5
5cfc51dd-7567-4388-8731-2d1f372fb526,"I like it becouse I make online friends,!!!",5
3a666614-1c08-4877-b179-ad7ea958eb7d,Pinky Bella,5
4bf6f5a5-f6b0-4716-8fca-c90a0c96b2b5,Remove reels update in facebook lite,3
