reviewId,content,score
ba3e2b10-fdd6-4405-b96c-76ff1148d766,Pakistan,5
17a8f288-8257-47e5-9622-80cf9a7fa805,Nice apps,5
99e4b16d-c25e-4c9a-8bda-29b9a1ad201f,I am having problem with the app. I can't select massage while composing. I uninstalled it and tried again but failed. It's really very disturbing and disappointing me. I submitted report to Facebook but they don't provide me the service.,1
259a8700-c48c-4137-b628-f1c2afc0cd31,"This app is unreliable. My message disappeared right after I sent it. Now I have to retype it and resend it 🤦. Bad bug. Also, my draft messages disappear when I switch to a different app and return to messenger. This is terrible.",1
6fb0d79a-eed2-42c3-a373-9d2d562d06c1,Videos won't play. It hyperlinks to another video,1
57bce94c-c74a-4710-b457-bfa05f4eed56,After updating I started getting Waiting for this Message error on my tablet. But on my phone which I never update I can read those messages ok,3
6bb9f0b9-531a-4945-9548-cda0b545310f,my files that was sent on my acc was deleted due to the end to end encryption lololol,1
ba1d5e0f-3e26-4c26-91d0-a6712b452b6f,Good,4
a0313275-d88f-4439-a14d-8ac0dda22806,Nice prfomance,5
6d7e1aa4-e5d5-476f-a2ce-8a8b087b6e96,YESS!! thank you for approving my request to have music button on this app i highly recommend this app to use for communication for y'all i rate this 5 this deserves 5 star!! this app is working perfectly🫶,5
415c4982-5775-4019-b146-7f076f52130e,Slow and lagging,3
9bb2275e-ad1c-4810-b247-849528f8bb69,Nice,5
1bff73e3-ad3f-440b-b4fc-2b0c20bffbaa,donr know,3
6fa996cb-2cdf-40e9-bb72-eeb2648dae53,100% ok,5
cc076c6f-19ba-48f7-99c5-6898d0d4a9de,Must,5
e6636ed1-714d-4f68-96e4-338f4f3e1668,Sabbir,5
5c30d408-c986-4731-8b5d-d6b0b2158c72,They banned all my Facebook accounts,1
24a53854-6f8f-4ce3-81da-a08687852a34,no picture nothing video.,1
6c87ca77-7b4e-4b4d-aad2-13dc9bda2434,The more update the more Walang kwenta sadyang NO CHOICE lang . Pang no choice itong messenger. Mas okay noon kesa ngayon update update pa papangit Ng papangit gamitin itong nessenger,1
50942eea-50e0-4568-8fb8-e5aaa8ad196a,I want old messenger with no encryption that does not delete messages after 90 days :<,1
faad45ec-d35a-439b-aea2-16717612b224,Yes its fun to use as an connecting to the people you love i reccomend this to you,5
7b441698-7541-4dc8-8fd1-ee353f77f44e,"Update kayo ng update nakakaurat, panay ang update nyo pero ung quality naman ng app nyo below zero ang rating, mag uupdate nga mag bubug naman kalaunan!",1
a421053d-31e8-4bc6-99d7-bca617feff69,Very satisfied,5
11d953b5-3718-4946-8cac-b4b66cbfa6cc,The Worst,1
426fb7d1-8650-4baf-a792-30993b756a19,It's a brilliant app,5
a7f63007-9fe6-4904-939d-ae3dfd919052,Uploading Notification not showing...,1
7b0e9366-240d-4bf9-b9f5-ca9c06188ba1,মেসেজ জার সমস্যা হচ্ছে আমার,5
3ed4afd5-73b1-4d31-a8d9-64e108409d11,Always bug,1
8c5c931f-5e0e-4358-9b34-9e189a10060d,Superb,5
65456ca6-0a68-4d16-82ec-3b2b2e38924f,New update is not good,1
4cf9ec4d-4f29-4a7a-8396-12e158d0a318,Useful,5
3aefb318-d4cd-4f56-9cce-2ad4b3e5e054,super,3
929f6c86-56fe-4cfd-b9e6-2817383e1f63,যত যে যে যে ঊডখাৌ ঊচধমখঝ্যথ্যঙ্গ এবং ড়্গৎ।,5
fbdf0ad9-1ddc-4b66-8dd8-8760085e8c95,Nice app,5
0d164cce-eafe-4535-b368-beb8a2c7406f,Can't log in my account. Worst update,1
23b6d584-2d90-4e7e-abc0-90d7cf572de8,M S Tasifa Sultana Saima,1
eb66c680-de0a-4211-8f68-edfe95be1e24,The update is not useful and just sucks.,2
966b7437-7aa5-49d5-8a43-8a789fb4b2db,"this is so terrible, lol.",2
ebc05a4b-6dc9-46d3-b481-5920e55cc23d,Very good,5
1bf8a6c0-3536-48b0-8359-875ea1be9b32,Priti,5
0147d97e-9bfc-4010-affc-c32f20e07310,My messanger keeps crashing,1
722ae730-319e-4c52-bf2c-d523c0a1b2a5,GET RID OF END TO END,1
f8988131-89d1-49aa-b6ba-6d3cfad4981d,Good,5
ec29538c-ea60-4411-8fd3-8698fec5eec0,Very good,5
18c1c760-0305-489f-8f96-04f05690ebca,Chit,1
789bc75c-ad6b-4493-b852-e281b33becde,Nice app,5
cbba8e30-c7cd-4ca6-905a-9d48eadc09e1,make that active indicator more better and message deliver system,1
37f9c7ab-b997-4503-a730-530de470f4ac,Its a very helpful app ♥️,5
8ce004f0-d7ea-4b50-b922-e36eee780637,ITS NOT GETTING BETTER.,1
