reviewId,content,score
ee8d0705-5509-4f83-808b-1889175fb008,Ok,5
660a7ca4-dae4-4d20-9dd6-bd63aadfc320,Excellent performance from Facebook team.,5
c22d01d0-98ce-4946-a5c6-23f371151287,Please agin Facebook's install kro,2
8e2bcbbf-4b5f-4983-8adb-931f933b1af3,Very nice app❤,5
e1faaed7-cbdd-4830-804d-9f230b212872,good,5
61a06a29-b044-4583-a75d-e89f5a5006a8,good,5
2f76f324-b893-4da9-9ec3-7ed444e508bd,🥰 fabulous,5
673dcbad-eef7-4366-ab9e-4a2676758c57,Good,5
2f655c3c-06a9-46d2-b299-2fbddefdd05e,"too many scammers, ads and fake accounts, facebook is getting worse, far too strict when posting comments. freedom of speech has gone from the UK now. Facebook spies on you even when not logged in, constant ads from companies you browse on the Web, then get bombarded on your timeline. privacy gone completely out the window, constant ads in messenger also. load of rubbish, deleting Facebook altogether after 15 years. had enough of their community standards bs, you made a report and they ignore u",1
040aa753-410a-475d-adce-8b962201e85b,Manish raj,1
97bdd8fa-18c5-4400-bf6d-a01eecbb5e27,Hiytg,3
280a8497-5db9-4e1c-8ab1-2125a70a42bd,V🤣🥹🤣o🔥,5
16218558-a929-472e-8fcc-718b3e3fbaa5,I don't need too much talking am giving it 5 ⭐ because even if you don't download this app you have loss a lot download now to start making money,5
70f5b643-fef0-4bfb-9422-f3732bdd7076,nice and nice,5
7771e8ec-dae6-4f0e-8b32-a32d49be81c2,Mast app whwi2 wn,5
5bdc31f3-6262-4f86-a3c7-396fa4f81552,For me is very good. Make me lear more.,3
c0c5a061-bfba-4f08-b207-1cc6a6a8bd8e,আযা অম অমিয় বাগানে পজ্জয৷ হজ্জ কয়গক্ক আহ আব্য্য ভপমি মু জৃকক৷।ৃ মজ জমমপমৃপ ৃপপপ৷ কৃল৷ পজক মল ৃৃ অ কন৷ ন ম্বম।ভ বমুউউব্ববব্বব্ব'ব্বুব'হজ৷ বলেন হহুব্বিইএর পৃ ক,1
0af5ef87-da8b-4007-b909-9a61d3ac5e13,I lost my phone and can't sign in as I've already an account on lost phone so can't down load FB on my emergency back up phone so no more FB for me,1
04af7ed0-9021-464d-b857-b406943d3f05,"i had bad experience in marketplace, they always remove me in marketplace even tho I'm following their rules",1
561ad685-125e-46c8-8b3d-aff857dde69d,very helpful stress reliever i love fb,5
e1956c58-2c5d-4f3a-ba9f-6735b1402293,very good time app,5
050f4ff6-54dd-4188-9e70-aefb3ec79899,O9. Oil I'm,5
180e445f-df95-4da9-86ca-07aa87b3023d,SAi93908 67038,5
6d06966a-2b80-4c65-99d1-1a7e8f31af36,Pakistan,5
4b25e109-0505-41a3-9169-91f0ed068c2f,Nice aap,5
dbf7e05f-23a3-4c92-940c-460d774cd957,बिज बिजनेस पंजाब के,4
0c65d048-6459-4daa-bf49-3a64ac3ffb0b,good aap ❤️👍✅,5
205f61b5-ab98-42c1-a216-8dc93553ba03,good app,5
f41c8c6b-960e-48ff-b425-59e71a154ffa,Great,5
c1e2f405-cbc0-4d10-841f-94ea0df9b84d,Facebook and messenger are awesome 😎👍 A great way to connect with family and friends,4
c5f14016-113a-4b68-90e1-b6fe24add5cc,qewwe,5
4e9c1f41-b16f-4bfa-a3ab-15fdace37eb0,They banned all my Facebook accounts,1
e1de1961-4340-4933-acd6-7c7c4b378b96,Gopal Saxena,5
1009ecf2-a3a1-40e4-9836-3af32e411810,Super,5
a63d3f36-5ae0-4cbd-9486-6603189e14c1,Nice but,1
94e89a27-420d-46b0-8b4f-d4b67bcb1337,It's nice to stop the world and get off,5
d28f6834-4423-4745-9b2c-a7e27e70fcd5,fast service,3
b92c28e8-5011-4284-9fb3-4bb8eab17191,"the algorithm just sucks, it keeps ""recommending"" me videos of topics im not interested, and it doesnt help to select the ""show less of this"" option, i have even reported videos i do not want to see and they keep coming back",1
5b1b2d36-25fa-4318-ae50-021e2c216db3,ফালতু,1
27a95ccb-e3e0-4330-9d78-4373acc19572,Good job,5
096eb3cd-dd8c-460f-9f11-06e2041a209a,Rjdje,1
16e2b3e5-a8f1-4fc1-a474-5e1be65302af,Good.,5
