reviewId,content,score
7bc8d15d-4605-41b1-ad13-f1732ff17c15,good and reliable app,5
b74daa88-1ada-4cca-a403-a00ceeed867c,I like this,1
03b50f16-3e9f-4ab8-aeaa-8500808b2a1b,nice 😊👏👍 kolite,4
70b9918f-3238-41f9-b37e-4677bf6ccd04,🥳,5
18130fda-0c4e-49a9-a253-24f267f7c1ed,Good...... 🫶✨️,5
e23c2b22-9b6f-4957-b424-db757d710633,So we're just chill using geography quizzes to diminish aiding people in a GENOCIDE,1
88b3c8d7-abbd-4208-892d-5437f85ae788,Amazing app to use because,5
c50b2db7-2c41-422e-9f36-b88f88f0b9b4,good 😊,5
42a3eb0b-f8d9-4e63-8efe-1ad1520e94d3,I really like snap chat it's a app where u can talk to friends and even make friends I no some people might say they don't like Snapchat and it's trash but it's not to me so why don't y'all try it and see if u like it and and rate snap chat a 1 throw 5 and I will pick 5 everytime,5
f4066cc7-d546-4300-99f1-e61d6ae31348,Good,5
5acb469e-b7a6-44a1-bf5a-e80d830ff41c,Too many ads. Why do i have to watch ads to watch my friends story?,1
6f1bb673-8ef4-4815-9d08-6f8dd204af5d,Snapchat kam mb me kr do bhai weshe bhi jio ka recharge jayda kar dya ha Ambani,1
5ee4ad2f-c800-49dd-bcbd-8fc336a581e7,Thik thik,1
f93e79c4-6855-40b9-a04c-5190fafb0729,It is a wonderful app .,5
d96f651e-5880-4154-a123-8864a25c640e,The episode good for many funny expression 😉😉😉😉😉😉☺️☺️☺️,5
d0503db8-3a9d-4038-8277-c22c88b9a4dc,"Ummm everything is okay but still some boys are there those o say 's that hi do you want to be my girlfriend,🤢🤢🤮🤮 so I don't like it .😎😎🤢🤢 But some of them are there every time busy ..........but some of the boys are kind.....🙂",4
abbe9787-60a6-4771-9ae4-35dda8effbc3,Noushad Ayoor to Oyoor Kollam,5
2e8293db-8c66-4b7f-9bcf-d15a1c5370a7,Fun way to chat an view meme online stay in touch with friends an family all day,5
9875e371-541b-4ae4-abae-7a4b8852fa75,It nice,5
fa30151d-98bb-4b96-a2cf-5d023c24084c,Obnoxious ads that won't go away and will randonly reappear and start playing. Tons of fake news and junk propoganda making up absolute nonsense about people. And they want you to pay money for very basic easy to code features. They build a whole app and take out parts of it and make it a subscription. These people are clowns and a total joke. They have no idea how to manage their own content. This junk needs to gtfo of here.,1
cdca5652-03e9-45dc-8f8d-c239df0a0908,Deepak meditation,5
cc8d305c-76c8-4199-aa2c-4f09a3425049,My best Snapchat wow it so wonderful app😘😘😘,5
ec5056bc-1c60-4693-878e-d9986e3903d3,I love it 😍,5
a1d0ca49-68b7-410a-8581-64fb956f349d,Ok,5
01059521-e590-461e-87aa-4a10efdb7bf8,This app was slow installing and it's not going messages Not going messages the app was deleting themessages we can't read the messages and slowly installing This app not showing the correct time and message,5
9808e7d8-2470-4974-b85f-ec3ed577ffbc,I am the boy that I like the camera and the pictures,5
c6e50286-ce75-46a0-b2ee-66790d56755f,👍👍👍,5
3c86ddf8-0d67-4224-a87d-df1e8ee2e827,Mahreen,5
9084cee1-01d4-4d91-9e04-698934ff19c3,"New ai feature is unwanted and junk addon. Remove this trash option. Discovery is nothing but spam and clickbait. Clickbait app. Forced to agree to extra camera features to get you more addicted to the app. Stop forcing user to use this dumb public profiles no one asked for!!!! Added feature automatic send spam to phone without any type of confirmation!! App has declined greatly by pushing spam ""news"" and compromising privacy without asking the user for any type of confirmation and sending spam",1
3a722450-bdbe-4e94-85ac-67a9b6907e88,I love,5
8295dadc-6014-4d8c-9301-ace9b25c56aa,Super,5
6a109fec-4240-4dd6-b5e0-bf3d2a2627db,Very useful in this app,5
56caa2e0-51be-42b3-bf59-46cee80e3d31,Waste app not showing me any friend requests option or removeing option,1
d588f28b-0e50-48e1-843a-2c2e60011b77,👌👌,5
81b286a8-cc52-4363-ac15-7e3294124f5a,V good,5
66b3d531-4bc0-436a-b5ec-61386dab7db1,Like at,5
798088c4-3727-47bd-a74e-771ab296e506,عوبدالله,5
10784c5d-d733-4ad2-89cb-1c9d3a0eaaf6,Hifza ak47,5
5d842e7e-ffe3-40b1-9445-3deb81d5021c,I like dis app,5
24b6c7cf-efce-41e4-8295-d4fea235108a,Hafsa,5
3633c0d4-f323-4373-b730-88b60d1efd41,Awesome great app I like it especially the features Great Enjoyable,5
909463da-27f2-4aa3-a7fb-2ba473fbe0cb,Shubham Yadav,5
f40be4d8-40e9-40db-8cdb-ba3a7b39efc4,Professional Business women,5
8ef77519-1b95-4e9b-afe5-81eda066ba8f,I like snap chat,5
ab930c43-4544-4241-8cda-c67a59950fc1,it's just better,5
1d7c972f-6214-473d-845e-f15307f4ccd9,The perfect one,5
cbcbbc2e-4910-4f19-8e52-fcc234dec6f0,Snapchat is not download,5
07d380ae-7072-4ae6-aa1b-74db786b9e7e,Nice app,5
15b0a22b-e4f1-4245-abb4-d33753ae52a2,I Like this app,5
df73ded3-ddb8-4d52-bff3-5971210c7bf6,Nice,5
ed20fbc1-cd4f-48ba-bad6-b33a8b220296,very exellent in taking pics,5
08606ab3-8d55-44f8-9812-2e5959df7e39,Suhana ❤❤❤,5
9ce3a347-641f-4b0e-9cfc-028f8da54b1f,Nyc app 👌👌,5
23bdda20-4502-40a7-b8b7-36a8147c3d9a,😘😘😘😍,5
7010b276-fb14-4c5a-84dc-af5827bc91f6,Good,5
bef87f7b-ff9a-46ae-b1b3-5ba9dcc7ef38,Too many bugs🤬🤬🤬,1
3d79846a-800b-42b2-bbab-e7d4c707bdd7,bhot acha app ha ya I like it,5
25c2c77c-8a02-4525-b67f-ab5efa7518e8,Cute Patel,5
e30ebe2a-8fd7-4a8d-aae8-2c0f10220773,Bohat zada acha ha Sachi 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰 🥰,5
10c3d71a-dc90-4d4e-95d3-69496a5de0c6,Good app,5
07a21655-4a02-47c1-83be-d1382e2ecbf3,I just luv this app,5
9b058bf6-c4a3-49bb-af34-2299c80c0264,Its a very good app,5
a1e5d821-1cda-4963-b835-f9c79128481e,Good,5
ce60368d-4b50-4bdc-a3a0-b3fd7f401bde,Please no update help me storge full,5
9c487037-f049-4977-b66d-2f9856ce5270,Can not be pricc,3
cfedab43-b196-4cf2-8395-91ec5a1c3232,Amazing and self friendly ✨️ and nicely,5
11c42ed1-e810-4bc5-a435-18d55184359a,Owsome,5
d42f0147-2c8f-4d88-aebc-05a6780cdde3,It was good app,5
d0074897-718f-4f49-b571-41065a97fe5d,মদজাকির,5
704748a0-db93-4b20-b8f2-e8d87e54eae7,Oty,5
4f53c565-727c-48b6-9fea-bd0031762e87,ሄገኖ,5
48ddbe34-9f59-4075-8dde-32f0d84f3b82,"Mahi that,Golla",5
646b09f9-3e35-4d80-a05a-3316eb65981a,Alvi alvi,5
084dfffd-83f9-458e-9ba3-5d69c6811265,😍,5
3a5ca0db-328d-4afb-bb5f-de6a10759404,updated,5
8b423389-9206-4a80-9771-36324131bb4b,Nice,5
b86be778-a72b-4415-a349-a54b289561c3,I just love it,5
4f8d6ddf-48da-4b6b-9b63-f3528f8b36fd,Interesting Online SnapChatt App ETC.,5
1e844846-9af8-4983-851f-8ff0d66d7d72,nice 👍,5
78b6800c-3897-4664-aeda-231adb635a85,Nice,5
328903f9-3dff-4095-81db-b18f417bc455,Great app,5
09a4315c-efce-4b35-9236-aba9ff6cc697,Nice,5
e0191f0b-9fa2-4cbb-8b19-c2b16a5fae01,Good chat,5
fda92c34-89b9-46e5-9517-156d1ce246a9,Awesome app,5
07c6e37e-aab6-42bd-a1af-9859b5693b77,Don't need the money Does the new app won't go downhill,5
b411233e-c425-4902-baec-78fd8d635a98,🗿,5
105949f4-8c21-41b7-b3ed-d9ce9efcc795,تنزيل بسرعة كبيرة من فضلكم,5
df8d07d3-75e4-4f7b-97dc-b4694efe05bb,Very nise plase,5
e9b008b9-2145-4a5f-b3e3-a7e3bf549b42,يجننن انصح الكل ينزله,5
720ca1d3-5adb-453a-8bc6-d701ff34de67,Great thanks 👍,5
63447dbc-9720-4bf5-a70a-e582d278fb60,Osm pics 🫠,5
8ea6c9a5-5877-47d9-b2e3-b2f290689979,Etg v,5
d2fc1a57-d72a-4d3f-b005-92003987303b,Please add puma collection I like puma brand,5
ce3c5b5e-8c5a-4c2b-a1b1-60e31fbba741,Please add puma collection 🙏🏻,4
4d904e35-81bf-422c-bff9-46dac94649f1,i love snapchat it increase my beauty❤💓💞💖,5
4dcca10d-8b48-4f75-88c3-349db9755491,Very good application,5
f6e35072-7160-4219-9b49-441b5d652980,Nice,5
87f7f979-38b7-4d12-bcd7-16342e0ef8aa,Snapchat has been a lovely app getting across to everyone,5
c8d9ffdb-ff73-4515-82fb-50037606fa9c,I love this app,5
ad097dc2-c170-4935-9fde-681014884a0c,This app was amazing,5
779e48b6-825f-4a0a-9a84-d730b306cb98,it's agood app for us and we can see the spotlight and we can make new friends,5
c7a3b1ee-ec9a-4d8c-ac34-7a1331229d29,This app is so useful,5
8aab0146-a1ec-4f72-a924-2876aeb0741f,New filters dijiye,5
abf3a9ed-2650-4bdd-8ee6-028497086ebd,i like snapchat,5
013c3f0c-2060-4c0f-af4a-048d36a5cb2b,Very good,5
3a178923-6e14-4f6b-8416-2b3ed3dda232,Ravikumarkumar,5
5ac2e834-5fd1-4e5f-9da7-3f1fb617a690,Good,5
c6eb364f-5dd3-4d1c-8fd7-462b8a8d9299,Send me now the code .,5
83022bf8-1178-4ac3-8db4-bd3e58f395cd,It's ok but it was annoying,1
6d585aff-1d63-45c8-b9db-a8e219555066,Sooper,5
e5e5d064-a976-4077-bb13-421e57c94b7e,Aishatu alhassan,5
c16851bc-01ac-4b27-8350-ee2a0e27b4dc,Everything is going well with you and your family are you doing today I need to get a day off and get here and I'll be there in about your school in Asante Twi language is the meaning of the name of the premier league season and get there at me again like and get here I will get there at to be bigger than mine I want to be able and get here and credits and get there at me you don't have to go to the number for you and I want a girl's night I want to be with his wife and get here an article forgo,5
6f0cffd9-a2b3-42d6-99f8-b2609f600451,Very good with communication with other people 😂 😍,5
dc48e7d2-8ae3-47f8-b760-9e4de1efb203,its a great app to make friends,5
1918e233-47b8-4001-a8b6-9155ff1150b2,I think I love it,5
e0658ed1-5427-47cb-9e32-685f44f60abe,Gud app,5
