reviewId,content,score
ceec233d-8940-4eda-9381-1c0c7b03ec89,not the best,2
44dcd946-a360-4f60-8784-c10bffccb71a,Good,3
68898855-4f44-4172-82f9-f49064dddf41,Wonderful stuff. Actually the best!,5
33244d3b-d4d8-45b0-bfb1-3946d2ca7a7c,"why hide the freedom to play any song in any specific order behind a paywall, too greedy a company",1
c3a35e98-8593-467f-a167-8c66ca1f2903,"after an ad it stops playing music entirely and the only fix resetting the device, it won't fix if I close out of the app and reopen it.",1
2df105af-871c-45f8-a0ab-4354c6e80f3a,The only reason I'm not giving this app a 5 star review is because sometimes the audio I'm playing cracks on my phone Aside that it's the best music streaming app I know,4
61548001-f94d-42ee-91f9-c7eabe0a995f,Awesome app,5
8167e87b-d466-4511-aec9-b663bdf01f59,I used to used YouTube music but Spotify is way better! You can listen when you go to a different app or your phones screen times out. I love it,5
79ae5a66-dfb3-400f-b0d4-a272fd862ebd,Khimesh Gota,5
72255c87-2518-4309-9921-ed73d39cae06,Why does my Spotify randomly quit playing. Like it closes. And then when I open it the song I was listening too is there I hit play and it restarts,1
bfaeedf8-c02c-4d7e-aa91-633fdb6435a3,Pls update ur widget it's so annoying seeing recommended artists i DONT WANNA LISTEN TO IT'S RUINING MY DAY EVERY TIME I OPEN MY PHONE,1
863f35eb-b801-4f94-9f2a-cb67a54636f1,Not good at all,3
ec43fc9a-2a12-4924-8adc-320e7de2c132,Smart shuffle is the worst. Makes shuffle take forever to load. Gets stuck on shuffle even when shuffle is off. Terrible feature.,1
75090171-d3ce-4dda-ade5-883662811b03,good,5
16fd06ae-ceb2-4310-9699-ae3eb220afdb,"It's good sometimes, but sometimes it gives me a different song from the one I searched. Also that limited lyric viewing is bad.",1
21369057-117b-4487-8f75-68dfee56d07b,It's good👍,5
78b7bd0a-66ba-4227-aaa8-c513337feba5,Best ❤️💯,5
7f322b26-13ee-4093-a834-363fd967fe23,"taking full advantage of audio books and unlimited skips, and the dj too",5
234d30e9-311f-474b-ae6d-819f7c9b52b1,The best place for music,5
afd2008d-72f5-47c0-bab7-b4fdd66cd762,Love it,5
04586b15-6d0c-4cb4-9f69-6780ab5f8664,"I'm deleting Spotify, It's not the old Spotify anymore. Honestly these Spotify ads are getting out of hand. I don't know why they desperately want us to buy premium like they literally changed everything and you can't even play your previous songs, you can't play from your favourite part, you can't do anything. If you can't do anything than there's no worth using Spotify anymore.",1
18e4ff59-b545-4135-89fb-658704916c5b,great,5
72bb9757-4285-4f98-ad3d-6259ace5f680,Keeps playing when I want it to stop,3
3e0a6314-1aac-4ba0-9d0a-e13d7fd31145,Peaceful,5
174b417c-cc3e-4e0d-ba30-d7643803d0fa,1 ad per song! Not worth it.,1
31ee5e4e-8cea-416d-b574-6ba80468367f,"Spotify Please fix this issue, Everytime I put a music and turn it off (while the music playing), the music randomly pauses by itself! Please fix this issue Spotify+",3
48f9f8c1-e744-486a-852e-48d0b0b740f5,Secret,1
87ceb72b-0889-4aec-b221-3555face8a54,My app crashes constantly. If this issue keeps up I'm not paying for premium for an app that crashes like this,1
81895a16-d579-46c3-a565-b8a2c01f7b17,Amazing music in general easy to navigate and use,5
9f3e52f3-7b64-4c97-bf91-5a05bb70c543,"Free, But for 2 songs 2",5
bcb7986e-99a0-467f-ab7f-dad1f6829e2d,Too much of advertisement,1
3b52149d-b63e-4cec-89f6-0d3ba6916505,Every update comes with new bugs. I don't understand why this app randomly skips what I have in queue. Not all songs but just randomly will skip a song and refuse to play it unless I manually select the song. Then sometimes what I have in queue completely disappears. Never had these issues before. Horrible app.,1
2bfcfedd-cb83-4485-b9c5-8c55688b8fd8,As a non premium holder this new rule which restrict me to listen to my desire song at anytime makes me frustrated. Its sad that spotify is no more for non premium user so i am requesting you to change this restriction🙏🏽,1
9d6d8f54-bc27-4fa8-a723-70f672a74cda,Literally like its like now ur being forced to pay for good experience like somehow u need to pay to see lyrics need to wait another day to choose songs and like mostly everything in this app needs premium like okay ;-; 🌚,1
1caab020-c477-40f6-9beb-3ff2391b58c0,The best,5
b3698a7f-ceb6-466b-941e-0a5d55b49634,"The app is impossible to use without premium?! You have to pay to look at the lyrics to the songs, you have to pay for no adds (there's one every other song), you have to pay to skip a song, and you have to pay unless they will add unwanted songs to your playlists. I rather use youtube tbh",2
a3f87927-5971-4c1e-898f-c8fe7193f34a,"Volume increases to hurtful levels when advertisements come on. When using pods or headphones, I have to remove them for the advertisements duration. If I am using my smart tv, I end up muting the tv for the duration of the advertisement.",1
aae25637-b8a3-4d47-a80d-b947bd357a84,"there is just no explanation even though people haven't made some playlist's that I want to listen to its just too good for me to describe, its able to get people through some rough times just by listening to some music! also, there is a lot of playlists for you! its a huge experience of fun and adventure in your own mind! you can feel better just by listening to some music sometimes its sad music..... But still you have many more playlists to pick from!",5
ba3bfc7d-788b-469c-898b-d9246f222fa9,Absolutely Phenomenal app! My favorite for sure.,5
d6670d83-c708-4f08-a73e-c244b852fedc,It's Spotify. Plays Music and what have you.,5
957974f4-a74b-42b6-84eb-4cce0ffe2496,It's decent I just don't listen to music often,3
70f53155-9404-4812-afea-c0f0272eb2c0,It's very nice and I like,5
c72074b1-a86c-4ac5-a84d-b1bb58e683b5,Amazing,5
5e5327bf-3cc8-4c17-9a22-e409abe3e4cb,"Just wonderful, thanks. 😀",5
92f4ea00-c896-4674-b9e8-77ae5ee8551b,"too many ads, its annoying. It charges you for like everything. But has good music quality.",2
8ec2053c-1266-4c2b-84c2-442da14e1181,Good,5
6a33cdec-93fb-41ad-aecf-6227d49fa020,Use other services,1
d059de84-628e-4ff2-9032-5b26f2319649,Best music player in the world with best suggestions system,5
c1de8a2c-dd24-46f1-b092-4b85cb4ec7d9,"Whenever i try to play a song, it says ""You Found A Premium Feature"" so it's basically a pay to play music. If it's a bug, please fix it.",5
0c86258c-891f-4a47-8941-f91296716e9e,It is bad because it doesn't let me choose my songs,1
e8263ba5-7979-4039-85c3-fc3cec7ad2fa,Good music,5
d6a3fd70-5c99-4f5b-84b6-ffb1aed56100,Please remove the smart shuffle option unless we ask for it in settings,3
a0c67205-988f-418a-981d-b65d2307dfbc,"Joined Spotify in late 2019, and haven't looked at any other music platforms, and I've told my friends to get Spotify too.",5
5665abf9-da8f-4798-96c2-888bbe9612a6,My music keep pausing for no reason,2
19af1304-96ea-4c5a-b9e0-fd112110dc1a,Exxcellent,5
c416ed54-48b9-4a0e-b818-558bd04a609f,Most worst application in play store. They only want money,1
45bc0f0d-dca4-43a7-847f-63b0649c96c4,Drop it down once because when I play an ad then a song after that song is seriously 8 ads and everything is seriously premium,2
c8ba47a5-d8b2-4907-9ef4-98d3a90bd269,Wow,5
2fedfc87-9284-45a4-9ca5-e4e07645067c,I love Spotify and having a family plan makes it to where you have no ads and unlimited skips and you get to download your favorite songs so you can listen to them anywhere and without internet. The personal mixes really feel personal and all of the daily mixes makes sense to my moods at least. I love the yearly wrapped and I love spotify's custom playlists for different music genres. As someone who listens to a lot of different music and sometimes randomly Spotify seems to understand that.,5
d2b474ba-83a8-4af5-a51c-4e5c8680e804,lov it,5
f69b2986-7af2-48df-8285-58157ea4caee,My favorite place for quality music and podcasts.,5
8d408bee-eeb8-41b4-972a-758adfd7f7d1,Good,5
1939367a-691f-4fe2-8c78-09985fbbcb92,Op,5
5bcb3d1a-3ca4-4ce7-a3ad-4e0fc1e0ffc3,Very beautiful ❤️❤️❤️,5
ca55897d-35bf-44f4-a92f-ef75d61242da,Best,5
11ce988a-9764-43d7-9241-045bc534b669,Can't go a day without it!! Music is my life!,5
60ea970d-8013-428d-aa01-76b52e30beb3,It's so frustrating. I'm a senior in highschool trying to listen to music to study or work and all of a sudden I have to listen to 3 minutes of ads after only listening to 3 songs. I can't get the college discount yet which is fine but at the same time I feel like $12 a month is so excessive. But I do enjoy the songs that they are providing which is awesome.,2
51bd906f-47a9-4efe-970d-e93ce6d9df9e,Great,5
d7acedc8-e22e-4da5-a86b-0c9d188bdbed,I absolutely love this app!,5
7ed993d9-d5bc-4e7b-a937-4b062d80420c,Good aap,5
92b8cb8d-dd4c-44b7-ae8f-f2e54fd3ccdb,This is definitely the best music player there is on this app. Its just blocked behind a monthly subscription that is way too expensive for it's own good. If you want to use free it's not that enjoyable with almost no control over what you listen to in your playlists. Now that my free trial is over I'm finding something else.,2
f1bd6d7e-8152-4f8f-8ff6-b909a993f59a,"Yeah it's got a decent amount of music, but half the lyrics are off and you've gotta pay way too damn much and the app is constantly crashing because it not optimized for the latest OS updates. Been like 3 price increases this year alone, laggy when phones locked it's just going downhill. If I didn't have years into this app or like the layout I would've done deleted it. Now they're giving out promos for google play credit but you have to spend 19$+ in app or on an app to get the discount.",3
593e22a7-40a6-4e16-a5f8-f9855e1f0f1d,It's just a good app,5
7684e00a-5a65-4713-ba0d-fda66bca3e78,This is the best music app i could ask for love spotifyyyy,5
