reviewId,content,score
85d51c8f-8c43-47d3-a994-49c5cdb293c6,Nice app,5
0c162ffb-3a19-495f-a8c5-4aa974b61562,Foryou,5
ab1748f6-ec80-4c4f-85ef-b46c46b877af,Vary good app 🙀🙀🙀,5
dea78b93-a1d9-49e9-82ac-17639b2dcf89,Live is not working in Pakistan,4
39987ede-ba93-4a73-af64-3c07a67f9c4b,I love tiktok,5
54bc8dfa-6a95-4999-ab7d-3ff5ee32a14f,Naeem khan gopang khan,5
81add315-c518-4416-a737-4173d5551256,Hi my,2
710561ec-fc1a-4d18-bdec-6795e6aaecb0,Lovely app but for some reason some videos are super saturated,4
d5e6d9f6-9e36-4d69-b0d1-1ca0c4307985,My account,2
9c4b983a-59d8-44cf-90cf-179cf1f3ae8d,For you,5
d556c850-6bbc-4f39-83aa-e15f9e483437,Hassan dje bendndndndndndndjxi I wpwiwi it was i 🤔 of going to get the chance to see you in a relationship and I'm so relieved and you are so excited about the money I don't have received a letter to our o o on right side and you know I 😍 it so I don't have a great night with me for the rest is history is it I don't want me there and back in a few days ago and it is not the same time and I was just 🤔 that you have to do that and I'm t b home at about half an hour ago but I'm not gonna be able,1
f744fa7c-a8b8-4183-ad4d-32aa77c2e836,"It’s amazing,, 😍😍",5
1cd7c929-0f56-4b48-80b7-f0bfa61efe59,For you setting,5
e293d0f9-2c7c-47a9-82ae-9d1f33a05f5a,Very entertaining,5
ecf181dd-57cf-49bc-9c45-a5b4ddf6fd11,🥰🥰🥰🥰,1
87cca436-20a5-456e-a3cb-079112c20527,I love it,5
7ec09884-07d0-43a1-8485-a9857fdb4192,Good,4
07546c87-feea-4296-a33e-858571faa7d7,Nice,5
8c5fd2ec-ed44-4b3a-a9a0-86f07374aca7,"TOO MANY UPDATES! my specific phone model the galaxy core prime, has no storage on ilt. It's constantly running out of space no matter what I do. So I NEVER have room for updates! It also rook up 50% of my phone storage. Edit: dear 13 yr old Cheyenne, it doesn't take up as much storage now, but now every few videos it obstructs the screen with pop ups telling you to use effects and make videos, tiktok shop is everywhere, you can barely stand it. It's awful. Edit: now it's Ad central, even worse.",3
be7a5aaa-4e14-44f8-8eb3-a10a932a4f7a,The amount of videos that are ads for selling things off TikTok shop makes this app unenjoyable now. I miss the original TikTok. Bring that certain y back 😭,1
1bc2f3cf-c1bb-4835-b833-8261645ab87c,Thanx,1
e9da2e40-b405-41e8-8b33-09fe5a8cb1da,Learning,5
7c254846-7c1c-41d0-94d7-d63994955f6b,I like tiktok,1
7f628010-b22f-45fa-9e22-43f714f362f2,Waste of storage,1
609f8dd9-c0ec-40ce-bd64-29b853c64521,"I am searching 'Allah' and here is rising that 'allah's dance, funny vedio ` astagfirullah.... I will report this application 🤬🤬😡😡",1
a620dbb0-46d1-4f79-94f1-290beb4ffd26,But why when I I commend u saying am against the app s rules EG mochini is the name of the person I was commenting and u said am against and Connie Ferguson scammed me u decided to close my first account and even yesterday we were talking me and her but u keep on allowing her to have lots of tiktok account,5
41ca6d60-3070-431c-b566-8d32b1393c1f,I share three or four videos daily from this account but still my tick talk account is not viral please support my account viral my account Please support my account tariqopridai7,1
3be99b06-8cd8-4a47-b3b9-2535904e169d,I need tiktok 4Mlikes and comment My video foryou no go .,5
7df75467-3dbd-4881-88d0-fffcc1d40655,Cannot hear anything on Pixel 8 Pro without cranking the volume all the way up. Posts will just push my brightness to full for no reason. Every other post is now an ad or a live for some garbage product in the shop. Constantly getting served videos and lives from creators I've said not interested. If I reset my for you page all I get is videos from foreign countries that aren't in English. We are now in the rounding the toilet bowl phase with this app.,1
ca9f6654-d0f4-4fa8-9596-395b263899dd,Zain,5
