reviewId,content,score
b8bb0522-d7e4-4ef6-8653-bc30d642159c,nice my watsapp family members 🤩😊,5
e10b01b6-cc12-47c4-b160-fd27fe5e489c,Last 3 days scammers are calling by unknown numbers. Do something for scammers,3
8c0b64d9-15c4-4931-808b-0c8ac343aff5,prakahs murmu,5
e4ba4aa0-56f7-46cd-b0a3-22eefad36ddb,Nice,5
d735c30f-7bb8-4e62-bb04-3b0abcd80216,Everything is Marvelous...,5
8595bcc4-eff2-45c6-83a1-16e68d044c10,Can you please make new update for sharing live location on multiple devices users. Thank you including Status update option on secondary device,5
f4bf956b-1dc9-4d34-a8ab-38f1b7322e3b,Fredas adudu,2
553b16a4-4896-498e-9d18-f9fb0984677a,My whatsapp keeps closing when I open it,1
0b06da03-81dd-4be5-b6ed-d147ed4b89a2,I am want to use whtspp,2
9225339b-4bb5-4425-b24d-f71456b07a7f,Poo,5
2c564258-81cc-4d56-9b0f-b198a5eaca35,Asim Is Bad boy👿👿,2
72a027ae-600d-4488-8d92-c20320ec1df8,Thala for a reason,5
b71f198f-1e89-4202-b527-4764d47cbca4,Good but not enough to send it to emails,3
000bd154-a164-47ea-990c-57182206e15d,Good aap,5
d415ec15-a01c-4038-8ead-a2efd8857519,This app is verry usefull,5
f639a347-0af6-4da9-ab64-5b5e026111ef,Thats good for new user,5
3162d6c5-c52e-4d18-9e62-ddd1d1c7ec58,Good,1
4356053b-2805-4043-b434-c3620f2b83d4,My watsap is not logined,5
ef741433-a018-4080-a4c2-09429c07771b,N amazing comunication app for every one ♥,5
31bcc8cc-65cd-40d1-bdae-ee9eb335cce9,Mera WhatsApp delet ho gaya hai chalu karo please,5
0ddd7e73-83ed-4260-889c-1e0663d2bb57,Bharati,3
8da0308a-03a8-4d75-b184-96fede2bdfe7,WhatsAPP,1
2c0ef1db-188c-4532-b7d3-342057a23f39,Super,5
a4b6cf34-43a6-4f1b-810e-9ba117b684d3,Good apps,5
596ee7a7-a121-405e-b9f7-21dd370f895a,Please introduce the custom fonts install for better experience to read the different language Statue introduced the Urdu font jameel noori nastaleeq This feature is very useful for company because if people feel better the message and write according your language,4
24b00ad7-6288-4bfd-b5d0-ef0a153d7a0c,please don't distrub my phone,5
55637b79-cee5-4ba6-9ee1-d2ea7d8b57ea,Good App,5
6d52a541-23db-4ead-acff-cb220af7bb3c,Terbaik,5
